,data_compra,sku,produto,fornecedor,custo_bruto,comissoes_mktplace,frete,preco_venda,lucro_venda,dias_estoque,data_venda,marketplace_venda,cliente,localizacao
1289,2021-08-06,19968,APARADOR MONDIAL BG-05 11 EM 1 BIV,FUJIOKA,127.17,23.03,0.0,179.9,29.18,49,2021-09-24,MAGALU,4a414ca4b0c98992d844,"MANAUS, AM"
1290,2021-08-06,19968,APARADOR MONDIAL BG-05 11 EM 1 BIV,FUJIOKA,127.17,23.03,0.0,179.9,29.18,49,2021-09-24,MAGALU,60c7d22e5fcfb1e4e76e,"CAXIAS DO SUL, RS"
1291,2021-07-29,22413,BR P&F BB MOBILE P/BERC C/5ENF ANIM 7193,NILO TOZZO,103.88,7.18,0.0,39.9,-75.15,217,2022-03-03,MAGALU,e9d5cdc50b2b51bd8ed4,"Jaú, São Paulo"
1292,2021-07-29,309718,BR H PD SS PLAYS FESTA HAMBURGUER B5521,NILO TOZZO,60.32,18.02,0.0,78.9,-7.33,118,2021-11-24,SHOPEE,7b641b148a7b71daf12e,"Brasília, Distrito Federal"
1293,2021-07-29,771031,BR AB TABLET INTERAT BILINGUE 830029,NILO TOZZO,60.95,16.32,20.34,98.91,-8.59,165,2022-01-10,ML MHL TOOLS,cc7b4191ed0aba322dc9,"Maraú, Bahia"
1294,2021-07-29,771031,BR AB TABLET INTERAT BILINGUE 830029,NILO TOZZO,60.95,18.13,16.45,109.9,3.38,144,2021-12-20,ML MHL TOOLS,3c1fea200053de57ed43,"Rio de Janeiro, Rio de Janeiro"
1295,2021-08-06,DMB5804,MOBILE ESPACONAVE BABY,DM TOYS,133.42,23.03,0.0,179.9,23.55,48,2021-09-23,ML MHL TOOLS,157d93174175892b0176,"RIO DE JANEIRO, RJ"
1296,2021-08-06,DMB5804,MOBILE ESPACONAVE BABY,DM TOYS,133.42,41.78,20.99,219.9,22.36,68,2021-10-13,MAGALU,67028309e7e2c9e5fcf0,Campo Grande - MS
1297,2021-08-06,DMB5804,MOBILE ESPACONAVE BABY,DM TOYS,133.42,23.03,0.0,179.9,23.55,69,2021-10-14,OLIST,9630cb70ea169baeaddb,"NITEROI, RJ"
1298,2021-08-02,19727,APARADOR PHILIPS BT3206,FUJIOKA,133.08,17.02,0.0,132.93,-30.46,192,2022-02-10,MAGALU,5c9bed7a3b64d9cd5ac3,SAO PAULO SP
1299,2021-08-02,19727,APARADOR PHILIPS BT3206,FUJIOKA,133.08,25.5,16.95,150.0,-40.53,198,2022-02-16,MAGALU,1f125a0830fa571047fb,"São Paulo, São Paulo"
1300,2021-08-06,19336,SECADOR MONDIAL SC-10 CLASSIC TRAVEL BIV,FUJIOKA,62.42,11.51,0.0,89.9,6.98,115,2021-11-29,ML MHL TOOLS,f9d9f4b2226d79597485,BELO HORIZONTE MG
1301,2021-08-06,19735,SECADOR MONDIAL SC-32 110V 2000W,FUJIOKA,102.82,14.4,18.45,120.0,-27.67,192,2022-02-14,MAGALU,ea35fe2a196c4df5f33c,"Rio de Janeiro, Rio de Janeiro"
1302,2021-08-06,DMB5797,ENCAIXE CASA BABY 9 FACES,DM TOYS,137.73,10.53,0.0,82.29,-74.2,202,2022-02-24,ML MHL TOOLS,0a30bf9410f59aae7805,MANDAGUACU PR
1303,2021-08-06,DMB5797,ENCAIXE CASA BABY 9 FACES,DM TOYS,137.73,13.18,18.45,79.9,-97.45,206,2022-02-28,MAGALU,c817f746aabd87756f30,"Juiz de Fora, Minas Gerais"
1304,2021-08-06,DMB5797,ENCAIXE CASA BABY 9 FACES,DM TOYS,137.73,13.18,18.45,79.9,-97.45,206,2022-02-28,ML MHL TOOLS,3aafa4ce587ae3bd4fc8,"São Paulo, São Paulo"
1305,2021-08-06,DMB5797,ENCAIXE CASA BABY 9 FACES,DM TOYS,137.73,13.18,18.45,79.9,-97.45,208,2022-03-02,ML MHL TOOLS,cbf979816b3c1d832fd9,"Araraquara, São Paulo"
1306,2021-08-06,DMB5804,MOBILE ESPACONAVE BABY,DM TOYS,133.42,23.03,0.0,179.9,5.46,167,2022-01-20,ML MHL TOOLS,5d5042c0e370073b438a,PIRIPIRI PI
1307,2021-08-06,DMB5804,MOBILE ESPACONAVE BABY,DM TOYS,133.42,12.54,0.0,97.93,-57.82,194,2022-02-16,MAGALU,f30b89870fec37561f1b,NITEROI RJ
1308,2021-08-06,DMB5804,MOBILE ESPACONAVE BABY,DM TOYS,133.42,18.13,18.45,109.9,-71.09,201,2022-02-23,MAGALU,f99f068e40b858cfc6d0,"Araçatuba, São Paulo"
1309,2021-08-06,DMB5843,CADEIRA BALANCINHO BABY COM MO,DM TOYS,267.93,31.35,0.0,244.93,-78.84,189,2022-02-11,ML MHL TOOLS,006329578c7cbdb66319,PITANGA PR
1310,2021-08-06,DMB5843,CADEIRA BALANCINHO BABY COM MO,DM TOYS,267.93,29.56,0.0,230.93,-89.65,194,2022-02-16,MAGALU,21f5d4a3b383e5687985,IBIRITE MG
