,data_compra,sku,produto,fornecedor,custo_bruto,comissoes_mktplace,frete,preco_venda,lucro_venda,dias_estoque,cliente,marketplace_venda,marketplace_unificado,data_venda,dia_semana,fim_semana,ano_mes_venda,quarter_venda,uf,regiao_br
479,2020-08-07,3606308019,CH COMB JG 08 A 19MM CATRACA 7PC VONDER,OVD,233.01,33.14,18.95,194.92,-109.67,556,5ef4e87d066cb7fffe90,ML MHL TOOLS,MERCADO LIVRE,2022-02-14,Monday,False,2022-02,2022-T1,RS,SUL
480,2020-07-21,0713-55,WINFUN - TAMBOR ABC MUSICAL,YESTOYS,57.6,28.48,20.39,149.9,38.16,279,7fe187e95113c2b2b077,ML MHL TOOLS,MERCADO LIVRE,2021-04-26,Monday,False,2021-04,2021-T2,RJ,SUDESTE
481,2020-07-21,20204,GALINHA PINTADINHA - LOUSA MAGICA,YESTOYS,23.69,0.0,0.0,31.91,7.8,178,294d16a4cf3315fe8060,OLIST,OLIST,2021-01-15,Friday,False,2021-01,2021-T1,SC,SUL
482,2020-07-21,20204,GALINHA PINTADINHA - LOUSA MAGICA,YESTOYS,23.69,1.75,0.0,34.93,8.81,216,eeb920ba8e185f77cd60,SHOPEE,SHOPEE,2021-02-22,Monday,False,2021-02,2021-T1,SP,SUDESTE
483,2020-07-21,20206,GALINHA PINTADINHA - PIANO XILOFONE,YESTOYS,47.28,0.0,0.0,58.44,10.79,133,748678edb4d395fbe5d3,SHOPEE,SHOPEE,2020-12-01,Tuesday,False,2020-12,2020-T4,MG,SUDESTE
484,2020-07-21,80-076620,VTECH - ANDADOR TREM ALFABETO,YESTOYS,331.24,77.53,20.9,469.9,41.96,147,ea2f8ac914b5a9170ed0,SHOPEE,SHOPEE,2020-12-15,Tuesday,False,2020-12,2020-T4,SP,SUDESTE
485,2020-07-21,80135420,VTECH - SUPER CUBO DE DESCOBERTAS,YESTOYS,333.38,76.78,0.0,479.9,71.02,112,d7429ea681d2a3782462,ML ALEGRISHOP,MERCADO LIVRE,2020-11-10,Tuesday,False,2020-11,2020-T4,SP,SUDESTE
486,2020-07-21,80-144120,VTECH - TOOT TOOT DRIVERS AEROPORTO,YESTOYS,128.34,45.58,26.39,239.9,36.4,357,322910824bc1c7f64b95,MAGALU,MAGALU,2021-07-13,Tuesday,False,2021-07,2021-T3,SC,SUL
487,2020-07-21,80-144120,VTECH - TOOT TOOT DRIVERS AEROPORTO,YESTOYS,128.34,36.28,22.14,219.9,31.28,449,4b1cfeb886d22cdff9a1,OLIST,OLIST,2021-10-13,Wednesday,False,2021-10,2021-T4,RJ,SUDESTE
488,2020-07-21,80-152720,VTECH - TOOT TOOT DRIVERS TORRE DE ESTACIONAMENTO,YESTOYS,166.09,44.78,0.0,279.9,66.94,37,770c80fc7c44dcd2861b,ML MHL TOOLS,MERCADO LIVRE,2020-08-27,Thursday,False,2020-08,2020-T3,RS,SUL
489,2020-07-21,80-152720,VTECH - TOOT TOOT DRIVERS TORRE DE ESTACIONAMENTO,YESTOYS,166.09,46.18,31.95,279.9,33.59,94,a4c714c6152f6716cc7f,MAGALU,MAGALU,2020-10-23,Friday,False,2020-10,2020-T4,PR,SUL
490,2020-07-21,778,WINFUN - BOLA DE ATIVIDADES AMIGUINHOS DA SELVA,YESTOYS,71.52,23.08,17.95,139.9,24.21,249,a1260228f3ea9c0c87eb,ML ALEGRISHOP,MERCADO LIVRE,2021-03-27,Saturday,True,2021-03,2021-T1,SP,SUDESTE
491,2020-07-21,80155,WINFUN - SUPER MESA DE ATIVIDADES,YESTOYS,233.65,54.38,31.95,339.9,20.58,29,a42edc89ea0d437a8cd5,ML MHL CARE,MERCADO LIVRE,2020-08-19,Wednesday,False,2020-08,2020-T3,MG,SUDESTE
492,2020-07-21,858,WINFUN - CADEIRA DE BALANCO CRESCE COMIGO,YESTOYS,282.17,69.28,31.95,419.9,36.67,42,29cf137e3b46ab7d4685,ML ALEGRISHOP,MERCADO LIVRE,2020-09-01,Tuesday,False,2020-09,2020-T3,SC,SUL
493,2020-07-21,2000,WINFUN - GUITARRA BABY ESTRELA DO ROCK,YESTOYS,62.22,21.43,21.54,129.9,21.37,405,ef52eaf6cf7c0b1fee39,ML ALEGRISHOP,MERCADO LIVRE,2021-08-30,Monday,False,2021-08,2021-T3,GO,CENTRO-OESTE
